from,toP,toS,toDP,toMW,toDM,toAP,toSI
P,0.0,0.2,0.2,0.0,0.0,0.0,0.0
S,0.0,0.0,0.2,0.0,0.0,0.0,0.0
DP,0.0,0.0,0.0,0.0,0.2,0.0,0.0
MW,0.0,0.0,0.2,0.0,0.0,0.0,0.0
DM,0.0,0.0,0.0,0.0,0.0,0.2,0.0
AP,0.0,0.0,0.0,0.0,0.0,0.0,0.2
SI,0.0,0.0,0.0,0.0,0.0,0.2,0.0
